اجتماع صلاه,,unsure
"Omar Khairat 2 Concert(s) 19, 20/12/2016 Cairo Opera House",اول لما يكون فيه اى تفاصيل عن الحجز هنعلن عنها Tickets Soon..,unsure
GDG DevFest Cairo 2016,"We are delightful to introduce the most anticipated event this year ""GDG DevFest Cairo 2016"" organized by GDG Cairo and GDG New Cairo.

GDG DevFests are large, community-run events that offer speaker sessions across multiple product areas, all-day hack-a-thons, code labs, and much more.

More than 140 GDG DevFest events are hosted this year around the world, and we are proud to be participating in this global series for the fourth time in a row with GDG DevFest Cairo 2016.

Registration Form: http://bit.ly/DevFestCairo16

GDG DevFest Cairo 2016 Topics:
- Firebase - The New Google Platform!
- Do's and Dont's of Social Media Marketing for Mobile Apps
- Design Thinking
- It's All About Marketing
- React Native + Firebase to Create a Messaging App
- Firebase - Getting Started for Android

For more information regarding the GDG DevFest Season 2016, kindly check the following link: https://developers.google.com/events/devfest/

#GDG #DevFest16 #Cairo #OneMoreGDG #TheNextBigThing",attending
حفلات الموسيقار عمر خيرت في أوبرا القاهرة - فبراير 2018,"تنظم دار الأوبرا المصرية بالقاهرة حفلين للموسيقار الكبير عمر خيرت خلال شهر  فبراير 2018 يومي الثلاثاء و الأربعاء 27- 28 فبراير 2018

أي تفاصيل حاتلاقوها فى الأيفنت جوه .. أعملوا مينشن لأصحابكوا من جوه الأيفنت مش من على أي بوست عشان توصلكوا كل التفاصيل و التحديثات من خلال جروب و بيدج الفانز و بس ;) 
Omar Khairat Fans

ميعاد الحفل : الثلاثاء و الأربعاء 27-28 فبراير 2018
مكان الحفل : أوبرا القاهرة
أسعار التذاكر : 200-400-600 ج
طريقة الحجز : ألكتروني من خلال موقع أحجزلي أو مكتب فوري بالأوبرا
https://e7gezly.com
ميعاد طرح التذاكر : لم يحدد

الدخول بالملابس الرسميـــــة 

تابعونا و أنضموا لأنشط و أقوى و أهم جروب للموسيقار عمر خيرت على الفيس بوك عشان تعرفوا من خلاله كل أخبار موسيقارنا الكبير وكمان كل أخبار الحفلات بمجرد الإعلان عنها والإتفاق عليها ومواعيد طرح التذاكر وصور وفيديوهات حصرية على جروب كل محبي الموسيقار عمر خيرت <3

فيها حاجة حلوة .. فيها عمر خيرت 😍😍

https://www.facebook.com/groups/1837205319882598/

Our Group

https://www.facebook.com/groups/1837205319882598/

Our Fan Page

https://www.facebook.com/pages/Omar-Khayrat/17083234329


(,"") Join us and Invite your friends ('',)",unsure
The Sleeping Beauty Ballet - Balleto del Sud - Italy,"The Sleeping Beauty Ballet - Balleto del Sud - Italy
Main Hall - 6,7,8 February 2018 - 8 pm.
#Cairo_Opera_House
Tickets are available online
https://e7gezly.com/events/sleeping-beauty/ 
Hall
250 EGP
Loge
200 EGP
Balcn
100 EGP",unsure
Celebrate Love with Karim ♡ Veronia 5-5-2017,"At 03:30 PM
""Love never fails""
Waiting you to share and celebrate our BIG Day on Friday 5th of May.... at 3:30 PM in st.mary and athansius church ,Nasr city

Your presence will make a diffrence so dont be late😉😉😉 let's count down together💃💃💃💃💃",attending
SC'16 - C'est La Vie!,"""نَظِيرَ الْقُدُّوسِ الَّذِي دَعَاكُمْ، كُونُوا أَنْتُمْ أَيْضًا قِدِّيسِينَ فِي كُلِّ سِيرَةٍ""                    (رسالة بطرس الرسول الأولى 1: 15)

Dearest Parthenians

The times of hardships and turmoil are about to be over, all this effort, hard work, exams, projects, and submissions are over. And the vacation is JUST AROUND THE CORNER!

So get ready to start your summer with no other than our favourite event of the year

PYF Summer Camp '16: C'EST LA VIE

Time: 17-19 June
Place: Beit Gabal El-Zaiton, Orabi
Pricing: LE 290 till 11-6

Reservation Team:
--------------------------
37- 
Daniel Ashraf   0127 792 8847
Kerollos Magdy   0106 933 6631
Aline Atallah   01004884778
Veronica Sameh   0120 322 2633

34- 
Philopateer Hakim   0122 024 0012
Joyce Tawfik   01009032360
Merna Maher   01111102283

31-
Michael Magdy   0128 660 6121
Kirollos Saviola   0120 497 6917
Mora Raafat   0122 557 6360
Christine Samir   01003518346

28-
Michael Emad   0100 414 1646
Kiki Ihab   0100 022 2085

25-
Fady ElZamalkawy   0127 566 2920
Sylvia Sameh   0128 271 0237

If you have any inquiries, you can contact
George S. Fahmy   0122 103 8883
Sandra Morcos   0128 620 2951

Mark your calendars, and spread the word :D
Stay blessed :)",unsure
PYF BBQ NIGHT,"Dearest Parthenians,

With our new comer brothers and sisters finishing off their midterms, what could be better than 

A BBQ NIGHT!

Join us this Thursday from 6:00 PM for a night full of laughter, fun, and most importantly: BARBEQUE! So come hungry and ready for some real fun 🎉

*Date: Thursday, November 23rd.
*Place: St. Hedra's building roof at St. Mark's church, Heliopolis.
*Price: EGP 60
*Registration deadline: Tuesday, November 21st in OnWings

For reservations, please contact:
Michael Morcos +20 100 713 4319
David Maged Awad : +20 100 504 8994
Sherry Ibrahim : +20 128 942 0809
Peter S. Armanyous : +20 127 789 6665
David Sameh : +20 111 6567658

Feel free to to bring your own food and brag about your cooking skills!",attending
Security: How to land a thesis and what to expect.,"Interested to know more about security and options for a security related bachelor project in Germany? Join us on Wednsday in H2, 3rd slot to learn more, and hear about some student's previous experiences. 

Content: 
1) What is information security?
2) What are the current security fields?
3) How can I get a bachelor thesis in security in Germany?",unsure
GDG GUC Online Recruitment 2017/2018,"The Wait is OVER! 🔥💥

We are extremely glad to announce the launch of GDG New Cairo at GUC online members recruitment. 🙈🎉🎊

If you would like to be a part of GDG's growing community and help spread awaresness about the latest and greates in technology, here is your chance! 🙌🏻

We at GDG strive to put the latest technology into use to develop helpful, useful and entetaining stuff, to maintain a community which is up to date with the current technological scene.

GDG New Cairo at GUC is a subchapter from GDG New Cairo focused on the German University in Cairo community.

You can choose to join our team whichever way you see fit trhough one of the following committees:

The Creative Directory
+ Directory Roles:
- Thinking of good ideas to deliver the knowledge about the latest technologies to the people.
- Coming up with ideas related to event and activities tackling the consumers, and making them understand more about the current technological scene and companies strategies and goals.
- Searching for the latest developers technology and organizing sessions and workshops for it.

Social Media and Marketing Committee
+ Committee Roles:
- Planning on-ground and social media marketing campaigns for     the club’s activities and events.
- Administering the club’s social media accounts.
- Doing SWOT analysis on a regular basis, with a marketing segmentation report.
- Creating advertising plans for the club’s overall image, on-campus, off-campus, and on social media.
- Maintaining the image, identity, and branding of the club through creative ideas.

Public Relations Committee
+ Committee Roles:
- Organising the “Marketing and Advertising” on-ground campaigns, incoordination with them.
- Organising the “Fundraising and Sponsorships” fundraising events on campus, incoordination with them. 
- Participating in implementing the “Build Cool Stuff” activities and events, incoordination with them.
- Responsible for the internal and external relations of the club, with other organisations, clubs, and groups.
- Creating partnerships with other organisations or groups that will benefit the club.
- Responsible for the approvals and permissions with the university administration.

People Operations Committee
+ Committee Roles:
- Evaluating the members through an evaluation system.
-Regular documentations of the events and progress, through reports and surveys.
- Updating the members with the latest news.
- Motivating the members and developing techniques to increase their commitment.
- Responsible for the development process of the members through sessions, trainers, and workshops in coordination.    
- Maintaining our fun and cool culture in the club.

Illustrations Committee
+ Committee Roles:
- Responsible for the branding theme and identity of the club.
- Designing various graphic designs for our activities, events, items, and campaigns.
- Responsible for the artistic touch in the club.

Media Committee
+ Committee Roles:
- Responsible for the branding theme and identity of the club.
- Responsible for all the photography and videography (video 
editing) of the club.
- Covering all of our various activities and events in terms of photography and videography.

Fundraising and Sponsorships
+ Committee Roles:
- Responsible for the funding resources of the club through making deals and offers with various companies to be our sponsors.
- Brainstorming and planning for fundraising events on campus.
- Coordinating with “Public Relations and Communications” on hosting the fundraising events on campus.
- Creating the club's benefit package to be delivered to our future sponsors when contacting them.
- Determining any financial issues inside the chapter, and the ways to overcome it.
- Creating a database of contacts regarding sponsors.

Logistics and Coordination
+ Committee Roles:
- Buying all the required materials needed for our activities and events, with the reasonable quality and price.
- Brainstorming and implementing the annual club package for the members, alongside any package required for any activity or event.
- Responsible for the implementation of the club's booths.
- Creating a database of contacts regarding suppliers and printing centers



You can register through the following link:
https://goo.gl/8WtnkG

#GUC #GDG #GDGGUC #Technology
#YourTechnologyCompanionOnCampus",unsure
