Security: How to land a thesis and what to expect.,"Interested to know more about security and options for a security related bachelor project in Germany? Join us on Wednsday in H2, 3rd slot to learn more, and hear about some student's previous experiences. 

Content: 
1) What is information security?
2) What are the current security fields?
3) How can I get a bachelor thesis in security in Germany?",unsure
GDG GUC Online Recruitment 2017/2018,"The Wait is OVER! 🔥💥

We are extremely glad to announce the launch of GDG New Cairo at GUC online members recruitment. 🙈🎉🎊

If you would like to be a part of GDG's growing community and help spread awaresness about the latest and greates in technology, here is your chance! 🙌🏻

We at GDG strive to put the latest technology into use to develop helpful, useful and entetaining stuff, to maintain a community which is up to date with the current technological scene.

GDG New Cairo at GUC is a subchapter from GDG New Cairo focused on the German University in Cairo community.

You can choose to join our team whichever way you see fit trhough one of the following committees:

The Creative Directory
+ Directory Roles:
- Thinking of good ideas to deliver the knowledge about the latest technologies to the people.
- Coming up with ideas related to event and activities tackling the consumers, and making them understand more about the current technological scene and companies strategies and goals.
- Searching for the latest developers technology and organizing sessions and workshops for it.

Social Media and Marketing Committee
+ Committee Roles:
- Planning on-ground and social media marketing campaigns for     the club’s activities and events.
- Administering the club’s social media accounts.
- Doing SWOT analysis on a regular basis, with a marketing segmentation report.
- Creating advertising plans for the club’s overall image, on-campus, off-campus, and on social media.
- Maintaining the image, identity, and branding of the club through creative ideas.

Public Relations Committee
+ Committee Roles:
- Organising the “Marketing and Advertising” on-ground campaigns, incoordination with them.
- Organising the “Fundraising and Sponsorships” fundraising events on campus, incoordination with them. 
- Participating in implementing the “Build Cool Stuff” activities and events, incoordination with them.
- Responsible for the internal and external relations of the club, with other organisations, clubs, and groups.
- Creating partnerships with other organisations or groups that will benefit the club.
- Responsible for the approvals and permissions with the university administration.

People Operations Committee
+ Committee Roles:
- Evaluating the members through an evaluation system.
-Regular documentations of the events and progress, through reports and surveys.
- Updating the members with the latest news.
- Motivating the members and developing techniques to increase their commitment.
- Responsible for the development process of the members through sessions, trainers, and workshops in coordination.    
- Maintaining our fun and cool culture in the club.

Illustrations Committee
+ Committee Roles:
- Responsible for the branding theme and identity of the club.
- Designing various graphic designs for our activities, events, items, and campaigns.
- Responsible for the artistic touch in the club.

Media Committee
+ Committee Roles:
- Responsible for the branding theme and identity of the club.
- Responsible for all the photography and videography (video 
editing) of the club.
- Covering all of our various activities and events in terms of photography and videography.

Fundraising and Sponsorships
+ Committee Roles:
- Responsible for the funding resources of the club through making deals and offers with various companies to be our sponsors.
- Brainstorming and planning for fundraising events on campus.
- Coordinating with “Public Relations and Communications” on hosting the fundraising events on campus.
- Creating the club's benefit package to be delivered to our future sponsors when contacting them.
- Determining any financial issues inside the chapter, and the ways to overcome it.
- Creating a database of contacts regarding sponsors.

Logistics and Coordination
+ Committee Roles:
- Buying all the required materials needed for our activities and events, with the reasonable quality and price.
- Brainstorming and implementing the annual club package for the members, alongside any package required for any activity or event.
- Responsible for the implementation of the club's booths.
- Creating a database of contacts regarding suppliers and printing centers



You can register through the following link:
https://goo.gl/8WtnkG

#GUC #GDG #GDGGUC #Technology
#YourTechnologyCompanionOnCampus",unsure
GUC Graduation 2017 (For GUC Students),"Dear GUC Alumni, please click on the below poster to register for attendance in the GUC Concert on Thursday the 12th of October, 2017
Note: Upon successfully registering you will be granted access via Gate 8🎈
Looking forward to seeing you all there 🤗
#GUC #German_University_in_Cairo",unsure
S0: Recruitment | GDG New Cairo at GUC,"We are extremely glad to announce the launch of GDG New Cairo at GUC - Season 0: Members Recruitment.

GDG New Cairo at GUC is a subchapter from GDG New Cairo focused on the German University in Cairo community.

GDG focuses on spreading awareness about the latest technologies in our community, so people can benefit their community by developing useful, helpful, and entertaining stuff.

We aim to mix technology with fantasy in a thrilling, extraordinary, and epic atmosphere.

GDG New Cairo at GUC is divided into 3 main directories:

- Build Cool Stuff 
1. Timaeus
2. Critias
3. Hermocrates 

- Do Cool Stuff
1. People Operations
2. Inspirations 
3. Marketing and Advertising
4. Public Relations and Communications
5. Illustrations and Photography

- Get Cool Stuff
1. Logistics and Coordination 
2. Fundraising and Sponsorships 

We are currently recruiting new members for Season 0: Generating... which focuses on Do Cool Stuff and Get Cool Stuff directories.

The recruitment process is as follows:

Apply through the following form: http://gdgnewcairo.org/online-recruitment/

You will receive an e-mail later to reserve your interview slot.

For any inquiries, kindly contact us at: hr@guc.gdgnewcairo.org",unsure
حكايات,"فرقة المسرح بالجامعة الألمانية هتقدم حاجة جديدة من نوعها : 
حكايات .. مسرحيتان كوميديتان في يوم واحد !
محتاجين لكوميديا في جو الدارسة والشتاء 

يوم  الخميس ٢٢/٢ الساعة ٦ مساءاً (لطلبة الجامعة فقط -Gucians only)
الساعة 8:30 (للجميع من داخل و خارج الجامعة- Gucians and outcomers)
في H4
واللي بيروحوا بالBus ميقلقوش .. هيكون في Buses بعد العرض الأول

الحكاية الأولي:
 
و ده مشروع تخرج دفعة التمثيل لسنة ٢٠١٨ للفرقة
إخراج : طارق سعيد

الحكاية الثانية : 
 
تأليف و إخراج: كامل الشافعي
مخرجان منفذان : أحمد شنواني - محمد عصام

الحكايتين تنسيق وإدارة :
 خالد سليمان

إشراف مسرحي :
وليد طلعت 

مديرة النشاط المسرحي :
 د.هالة حشيش

تصميم الدعاية :
 وليد سامح

الممثلون بالترتيب الأبجدي :
أحمد عماد
أحمد هاني 
تيا اسكندر
حاتم علوي 
دارين عطا الله
دنيا محمد
دينا محي
روان أشرف
سادين الديرى
سيف محسن
شهد وائل
على عبد السلام
على عبدون
عمر خيري
عمر شناوي
عمر وليد
عمرو أشرف
فاروق خالد
كامل الشافعي
محمد القرشي
محمد حاتم
محمد حبيب
محمد عشماوي
محمد عطوة
مروان عادل
مريم عمر 
مهند مرسي
مي طلعت
طلال المغربي
ندى الرزاز
ندى فؤاد 
نهى مصطفى
نور الأشرم
هايدي أسامة
وليد سامح
يارا عبد الرحمن
يسرا صوفي
يوسف علي",attending
"Kreate, Kompile, Kotlin.","GDG New Cairo is proudly presenting its first workshop for Android Development titled ""Kreate, Kompile, Kotlin."" using the new Android first-class language ""Kotlin"" at Via Coworking Space in Nasr City. 🔥🙈

Agenda:
4:00 pm - 4:30 pm: Registration
4:30 pm - 5:00 pm: GDG Introduction
5:00 pm - 6:00 pm: Introduction to Kotlin by Tarek Abdul-Kader
6:00 pm - 6:30 pm: Coffee Break
6:30 pm - 7:30 pm: Kotlin for Android Workshop by Shady Selim
7:30 pm - 8:00 pm: Networking & Closing

Registration Link: https://www.meetup.com/gdgnewcairo/events/241450829/
⚠️ By joining our Meetup event, you will be automatically added to the attendees list.

For more information, don't hesitate to contact us through our Facebook messages.

#GDG #Android #Kreate #Kompile #Kotlin #Workshop",unsure
معرض الكتاب 2018,"ازيكم اهل اللمه الكرام
وبعد غيبه طويله جداااااا اخيرا همقول معرض الكتاب....... ^_^
زي ما اتعودنا وعودناكم كل سنه لازم نطلع للمعرض -ربنا يجعلنا من طلبه العلم ديما-
وطبعا كل سنه غير اللي قبلها ودي ديما مفجاه فريق اللمه ليكم
مش هحرق المفاجات لان اللي عايز يعرفها يبقي لازم يطلع معانا كل اللي اقدر اقوله ان السنه دي غير كل سنه في كل حاجه =D
وطبعا مسابقتنا السنه دي برده مختلفه ولازم تتابعوا البوستات عشان تخمنوا ايه هي ;)
............................
الرحله ان شاء الله هتكون يوم الاثنين الموافق 29/1
اليوم هيكون كالتالي:
هنتجمع الساعه 6.5 امام دوران المحافظه والتحرك 7
-معرض الكتاب يعن الكتب اللي لا تعد ولا تحصي يعني خراب البيوت وميزانه السنه كلها بضيع هناك :v (هيبقي من ساعه الوصول من10 تقريبا لحد5)
-الغوريه حيث رقصه التنوره والانسجام وسحر الالوان والتوهان(من7الي8ونص)
-الحسين ومصر القديمه وجمال مصر القديمه واللف والتوهان(من9الي11)
ثم العوده
...........................
الحجز:
اكسيد-شارع الخليفه- بجوار الكنيسه الانجيليه-الشارع الجانبي بجاور روميو وجوليت للملابس
كل يوم من 11 الي7 عدا يوم الجمعه 
سعر التكت:85ج
.........................
للاستفسار:
ت/01063459309
.........................
ملحوظه:
-الحجز باسبقيه الحجز 
-الحجز حتي يوم 20/1او حتي اكتمال العدد",unsure
Plastic Minds with Egychology - ايجيكولوجي,"[Arabic text below]

NOTE : THIS EVENT IS FOR GUCians ONLY!

Have you ever wanted to learn a new skill then voices inside your head told you that you can't ...  that it's too late! NO it's never too late. 
You could learn a new skill everyday 😃

Thoughts..emotions.. 
The repetition of small changes leads to neural pathways. Why do you think we behave differently nowadays than 10 years ago? It’s because our brains are constantly being shaped. 

This is called ""Neuroplasticity"".

It’s the brain's ability to reorganize itself by forming new neural connections throughout life. The nerve cells’ activities are adjusted in response to new situations. And more to learn from our great speaker Ahmed Samir who is known for his famous youtube channel Egychology - ايجيكولوجي!

-Waiting for you all on Saturday 24th of February.
-Time: 3:30 pm (5th slot)
-Location: H16
-Please register through: Deadline rached


تنبيه هام : الحدث لطلاب الجامعة الألمانية فقط!

حاولت قبل كدا تتعلم حاجة جديه و دماغك كانت رافضه الفكره و بتقولك خلاص كدا كفايه عليك تعليم ؟ لا مش كفايه! 
انت ممكن تتعلم حجات كتير جديده كل يوم بشكل انت نفسك متتخيلوش

التفكير و العاطفه. تكرار حجات صغيره في حياتنا بيئدي لمشاكل مختلفه في السلوك العصبي لينا. تفتكر ليه دلوقتي واخدين فكره اننا كنا روشين جدا و احنا صغيرين مع ان دا كان صح 100% و انت صغير؟ دا ببساطه لأم المخ بيستوعب اكتر من اللي حوليه و بيكون لنفسه شصخيه مستقله و شكل معين يبقي انت عليه.

كل دا ملخصه في كلمه واحده اسمها ""Neuroplasticity"" !

هي قدره المخ علي استيعاب نفسه عن طريق تكوين خلايه جديده و توصيلات مختلفه بين خلايه المخ و بعضها بتكون شبكه. الشبكه دي هي اللي بتتحكم في تصرفتنا و شخصيتنا و تعاملنا مع المواقف المختلفه و اكتر هتعرفه مع Ahmed Samir صاحب اكبر قنوات اليوتيوب في الشرف الأوسط Egychology - ايجيكولوجي 

-الحدث هيكون يوم السبت 24 فبراير
-الساعه 3:30 مساءَ
-المكان H16 
-للحجز : Done",attending
Egyptian Engineering Day 2017 | يوم الهندسة المصري ٢٠١٧,"Success is not a matter of coincidence, but a mixture of hard work, perseverance, learning, studying, sacrifice and passion.

It doesn't matter what your passion is; engineering, business, art or entrepreneurship, it is always necessary to ""Widen Your Horizon"", see the wider image, consider all the variables, and have a wide knowledge of many fields. Only then is when your mind is enlightened, and is capable of achieving more.

EED 2017 presents different categories of engineering and entrepreneurship tracks, each with a number of projects that cover its various topics, to expose you to a diversity of options whatever your passion is.

All you need now is courage; courage to push your whole potential towards your destination. If you have this courage, you should join us in this year's episode of EED and register your seat here: http://visitors.eed.eg/

 النجاح مش مجرد صدفة، النجاح إنك تدرس وتتعلم وتشتغل بجد، إنك تضحى بحاجات كتير عشان توصل للي أنت عايزه، و إنك تبقى شغوف بالحاجة دي.

شغفك ده ممكن يكون  زي إنك تشتغل في شركة وتحقق ذاتك وتسيب بصمة قوية في مكانك، أو إنك تكون رائد أعمال، ويكون ليك شركة خاصة بيك وتتحمل مسئوليتها الكاملة، أو تكون مهتم  بفن أو مجال معيّن وتبدع فيه. 

في كل الأحوال محتاجين نشوف الصورة الأكبر ونهتم بكل المتغيرات، ونعرف كل جديد عن كافة المجالات، وبالتالي نوسع مداركنا وآفاقنا، ونقدر نعرف كويس الطريق اللي احنا فعلًا مهتمين نمشي فيه في حياتنا، وكل اللي هتحتاجه مع ده شوية شجاعة.

خد الخطوة وسجل في يوم الهندسة المصري ٢٠١٧ اللي رسالته السنة دي إنه يعرفك إيه هي الطرق المتاحة قدامك، ومميزات وتحديات كل طريق ممكن تمشي فيه، سواء هندسي أو غيره؛ عشان تقدر تقرر وتختار.
للتسجيل :  http://visitors.eed.eg/
يوم الهندسة المصري ٢٠١٧ - آفاق غير محدودة !",unsure
Massar Egabri Concert at GUC,"Our dear GUCians, 
GUC Music Academy has the pleasure to announce that ""Massar Egbari"" Band will be finally with us on a live open air concert at GUC Campus on 21 April 2016.

Concert will take place at the platform area @ 6:30 p.m.

Mark your calendar and get ready ;))

Dear valued GUC graduates, please complete this free-of-charge registration form for concert entry. Looking forward to welcoming our dear alumni back on their campus! 
http://goo.gl/forms/qM8gOh0nsq

Main Sponsor: Nile FM

اعزائنا طلبة الجامعة الالمانية  بالقاهرة ،
يسر الأكاديمية الموسيقية بالجامعة الألمانية أن تعلن عن الحفل الموسيقي لفريق "" مسار اجباري "" في الجامعة الألمانية  يوم 21 ابريل 2016 .الساعة 6:30 مساءا .
سيقام الحفل في منطقة ال Platform Area بمنتصف الجامعة ..
استعدوا لحفلة جميلة مميزة مع مسار اجباري ;)
يلا بيييينا ;)))

احبائنا خريجين الجامعة الالمانية برجاء التسجيل على الرابط التالي لتتمكن من حضور الحفل :
http://goo.gl/forms/qM8gOh0nsq",unsure
