name,about,category
Rubens,,Artist
Samsung,"Welcome to the Official Samsung Egypt page where you can “like” us to engage with other Samsung fans and get the latest info on products, promotions, events & more!

Contact Us:  http://www.samsung.com/eg/support/",Electronics Company
Better Life,"الصفحة الرسمية للحياة الأفضل (Better Life) بالإشتراك مع صفحات
 BetterLIfe Shabab 
BetterLife heya 
 Better Life Kids
 Tamam TV 
 ",Community
Candy Crush Saga,"Welcome to the official Candy Crush Saga fan page!

Play Candy Crush --> http://to.king.com/ysnk

Official Merchandise --> http://to.king.com/m32H",Games/Toys
Farm Heroes Saga,"Welcome to the Farm Heroes Saga official fan page! 
Play here --->  http://to.king.com/d04u",Video Game
Imikimi,Imikimi is an online community where millions of people share and remix their creativity. We believe there is an artist in everyone. ,Website
ContactCars.com,"The Official Fan Page of www.contactcars.com Since 2004 the No.1 automotive website in Egypt

الصفحة الرسمية لكونتكت كارز موقع السيارات رقم ١ في مصر",Website
FC Barcelona,Welcome to the Official FC Barcelona Facebook Page www.fcbarcelona.com,"Stadium, Arena & Sports Venue"
Hyundai Egypt,Welcome to Hyundai Egypt's official fan page                                                             http://www.hyundai-egypt.net/,Cars
Harry Potter,Harry Potter Complete Collection -  https://po.st/3flO1h,Movie
Harout Aram Diamonds,"Ismail Ramzy st - medan al gam3 -   Heliopolis , Cairo 
tel 26335581 - 01110222242 - 01222390521- 01223400001",Jewelry/Watches
D.Diamonds,"D.Diamonds Company was established in 1991, we are specialized in Diamond jewelry, and we have our own 4 unique brands to satisfy all tastes.
",Jewelry & Watches Store
Real Madrid C.F.,,Sports Team
accountant,,Interest
Reload - Production House,"A young live Production Company that is full of passion to deliver to highest standards, undeterred by scale and size of challenges. ",Advertising/Marketing
نجوان محمد - Nagwan Mohamed,الصفحه الرسميه للمطربه نجوان محمد ,Artist
Sancy jewellery,Sancy,Jewelry/Watches
النقابة المهنية الادارية لصناع وتجارة المصوغات الثمينه,,Personal Blog
مشروع بيت الوطن,الصفحة الرسمية للمشتركين في مشروع بيت الوطن لتبادل الآراء والخبرات في مراحل البناء والتعامل مع الجهات الحكومية أثناء بناء بيت الوطن - بمصر ,Company
