OR,Mix,Comedian
McDonald's,أهلا بكم على صفحة ماكدونالدز مصر الرسمية,Fast Food Restaurant
سهلة 1.2.3,,Community
Google,Organizing the world's information and making it universally accessible and useful.,Workplace & Office
Top Glory Travel - السياحة فى جورجيا,السياحة فى جورجيا - Top Glory Travel هيا شركة تختص بتقديم كل ما يحتاجه السائح العربي داخل دولة جورجيا من حجوزات فنادق وخدمات أيجار السيارات وخدمات ا,Local Business
Pizza Hut,أهلاً بك في الصفحة الرسمية لبيتزا هت في مصر. ,Pizza Place
Disney,"مرحبًا بك في الصفحة الرسمية لديزني في الشرق الأوسط
Welcome to Disney’s official Middle East page",Movie
Slim Abdennadher Facts,Slim Abdennadher facts are satirical factoids about professor and programmer Slim Abdennadher that have become an internet phenomenon and as a result have become widespread in popular culture. The facts are normally absurd hyperbolic claims about him,Community
Prof. Dr. Slim Abdennadher,,Public Figure
Ghada Adel,العلم نور صفحة تقدم لمتابعيها كنز من المعلومات القيمة والمفيدة والمسلية,Magazine
The Insider (GUC),The Insider (GUC) is the first  independent student-run newspaper at the German University in Cairo (GUC). أول جريدة طلابية مستقلة بالجامعة الألمانية بالقاهرة,Media/News Company
GUC Student Union,GUC SU-Power To The Students,College & University
اليوم السابع,"الصفحة الرسمية لجريدة اليوم السابع علي الفيس بوك
www.youm7.com",Publisher
Abla Fahita,الصفحه الرسميه للأرملة العصاميه ومليونيرة الويبه أبلة فاهيتا من #الدوبلكس,Other
Wael Jassar,Welcome to Wael Jassar's official facebook page | اهلاً بكم على صفحة وائل جسار الرسمية,Musician/Band
Doritos,دوريتوس هو وجبتك الخفيفة المفضلة المكونة من تورتيلا الذرة، التي ستحول لحظاتك إلى تجربة ممتعة ومدهشة بطعمها الرائع مع شكلها المثلث المميز.,Product/Service
موقع الحق والضلال,"Official page of the site www.christian-dogma.com
",Workplace & Office
GUC Media Production Center,A media centre to produce high-quality material for the GUC’s various academic and non-academic activities.,Media/News Company
كنيسة العذراء مريم ارض الجولف,,Region
GUC's Sarcasm Community,Welcome to GUC's Sarcasm Community.,Community
German University in Cairo,,Local Business
أحمد حلمي Ahmed Helmy,"الصفحة الرسمية
Official Page",Artist
Zamalek SC,"Welcome to the Official Zamalek SC Facebook Page. Keep up to date with the latest news and content, engage with the club and fellow supporters.  ",Sports Team
RAVIN,"Welcome to the official Page for Ravin Jeanswear,fast growing retail clothing brand focused on offering the finest trends in fashion for unbeatable prices.",Clothing Store
Adel Emam - عادل إمام,Adel Emam's Official Page ,Actor
UNILAD,"Snapchat - uniladsnap
Instagram - UNILAD
Twitter - UNILAD
Community - www.facebook.com/groups/UNILADCommunity",Magazine
Nogomi Music,الموسيقـَى غِذاءُ الرُّوح,News & Media Website
Editor Sameh Mosaad,"Art Media for video editing & Photography -
 To communicate +201005152012",Artist
Quiksilver,"Life on the mountain. Life on the wave. And the all good spaces in between.
",News & Media Website
Saw,"One of the highest grossing horror franchises of all time is back, taking the Jigsaw killer’s signature brand of twisted scenarios to the next level. #JigsawMovie Now on Digital, Blu-ray & DVD.",Movie
Bahy Center د/ باهي هاني,"د/ باهي هاني #نحات_السعادة
اخصائي تغذية علاجية ونحت القوام
دكتوراه مهنية فى العلاج الطبيعي DPT
علاج جميع حالات السمنة والنحافة",Nutritionist
GiveMeSport,"GiveMeSport is owned by Breaking Data Corp. (TSX.V: $BKD.V)(OTC : $BKDCF)

GiveMeSport provides daily opinion, features & insight across the latest sporting news.

",News & Media Website
Kinder,,Food & Beverage Company
Kıvanç Tatlıtuğ,Kıvanç Tatlıtuğ Resmi Fan Sayfasıdır. Güncel bilgiler dijital ekibi tarafından paylaşılmaktadır. /  Kivanc Tatlitug's official fan page. Posts are shared by his digital media team.,Artist
Olympic,"Excellence Friendship Respect, excellence amitié respect",Sports League
ASME GUC,ASME stands for the American Society of Mechanical Engineers which was founded in 1880.,Nonprofit Organization
Burj Khalifa,"Welcome to the official page of Burj Khalifa, the world’s tallest building   ‘A Living Wonder’ by Emaar.",Apartment & Condo Building
