Spirit Riding Free,"The official Facebook page for DreamWorks Animation's Spirit, including both SPIRIT: STALLION OF THE CIMARRON & SPIRIT RIDING FREE",TV Show
MasterClass,"Learn from the world's best. Online classes taught by Serena Williams, Aaron Sorkin, Gordon Ramsay, Shonda Rhimes, deadmau5, Hans Zimmer, and more.",Education
Kotlin fans,Statically typed programming language for modern multiplatform applications. 100% interoperable with Java™ and Android™. Try Kotlin Now official on Android,Community
SCAD Office - German University in Cairo,,College & University
The Voice of GUC Students,"This will be the Voice of Guc students page ... If you have a problem with the Uni , if you believe a change is needed in anything this is where you can say it. ",Community
Lunarbaboon,"Webcomic about a half man/half moon monkey trying to make sense of it all.

www.lunarbaboon.com",Entertainment Website
Ich liebe Deutsch,"Diesen FB Fan-Seite haben wir gerade eingerichtet. Auf ""Gefällt mir"" klicken für Aktülles!
",Community
Heroku,"Heroku provides services and tools to build, run and scale beautiful mobile and web applications. We enable flow—for developers to focus on the design and craft of compelling apps. Heroku is a Salesforce Company.
",Workplace & Office
مرمورة,جوال شيف ابومرهف 01157771225,Community
FailArmy,Got a hilarious fail? Submit it: http://bit.ly/14-submit-here,Just For Fun
Renewable Energy2018,جمعية اصدقاء الانبا انطونيوس بميونخ..,Energy Company
Disney Books,The official Facebook destination of the Disney Book Group,Brand
Kubuntu,Welcome all fans of Kubuntu Linux distribution.,Product/Service
Abouna Samaan Ibrahim - أبونا سمعان أبراهيم,"Rev. Father Samaan Ibrahim, is serving the Lord at the Garbage Collectors area, in Mokatam Mountain since 1974.يخدم القمص سمعان أبراهيم الرب فى منطقة جامعي القمامة بجبل المقطم منذ عام 1974",Public Figure
Pexels - Free High Quality Photos,Find high-resolution photos for your next project. All photos are free for personal and commercial use and attribution is not required.,Camera/Photo
Genymotion,"A powerful Android emulation platform for app developers & testers. Available on Mac, Linux, Windows and now even in the cloud! 

Join our 5M+ community and witness the power of our collaborative and testing features at genymotion.com/cloud",Product/Service
Amer Zahr,"Amer travels the world performing! He is also a writer, musician, and commentator. See his site at http://www.amerzahr.com and his blog at http://www.civilarab.com",Comedian
Films By Kris,Linux and FOSS tutorials,Computer Company
