😍,Andrea Makary shared Aircraft maintenace engineering's video.,10215490427511772_10215269777875669,2018-03-18T18:59:05+0000,shared
below,Andrea Makary shared Goalcast's video.,10215490427511772_10215240986075892,2018-03-15T17:54:12+0000,shared
Tb law 3andy el talata ab2a eh?😂😂,"Andrea Makary shared I am Programmer,I have no life.'s post.",10215490427511772_10215108193036149,2018-03-01T15:09:47+0000,shared
👌,Andrea Makary shared ‎مما قرأت‎'s post.,10215490427511772_10214788545845169,2018-01-23T22:17:54+0000,shared
below,Andrea Makary shared Earth. We are one.'s post.,10215490427511772_10214775713364365,2018-01-22T16:42:10+0000,shared
Atgawez ma3aaako😍😍😍,Andrea Makary shared The Irish Post's video.,10215490427511772_10214572067553347,2017-12-28T17:43:08+0000,shared
Sue Makary 😂😂😂,Andrea Makary shared Asa7be Sarcasm Society's post.,10215490427511772_10214546232107477,2017-12-25T11:12:20+0000,shared
below,Andrea Makary shared Bible Quotes's post.,10215490427511772_10214267485618989,2017-11-20T07:10:48+0000,shared
below,Andrea Makary shared Roadtrip's post.,10215490427511772_10214246115364746,2017-11-17T16:40:41+0000,shared
below,Andrea Makary shared Dr.Nancy Maher. Relationships Counseling's post.,10215490427511772_10214099727025129,2017-10-30T07:47:33+0000,shared
Tony Makary faker elbta3a dee😅,Andrea Makary shared Screenshot's post.,10215490427511772_10214035821227524,2017-10-21T20:58:36+0000,shared
Youssef what do you think??🤔,Andrea Makary shared Sarcasm's post.,10215490427511772_10213835478299076,2017-09-25T12:47:24+0000,shared
Sue Makary😂😂😂,Andrea Makary shared Thanawya Sarcasm Society.'s post.,10215490427511772_10213790252848468,2017-09-19T20:40:14+0000,shared
Youssef Ashraf 😒😒,Andrea Makary shared ‎كومنتاتك - Commentatk‎'s post.,10215490427511772_10213677992722035,2017-09-07T11:30:19+0000,shared
Programming 😁,Andrea Makary shared ‎عربي +AJ‎'s video.,10215490427511772_10213669975721615,2017-09-06T12:10:36+0000,shared
Youssef rabena yewafa2ak ya kbeer😂😂,Andrea Makary shared Roba da Alcolisti's post.,10215490427511772_10213411479659375,2017-08-06T01:10:08+0000,shared
Bero shoof el manzar da?? Fekretak hatenfa3na gamed 😂,Andrea Makary shared German University in Cairo - GUC's post.,10215490427511772_10213327771206716,2017-07-27T12:41:05+0000,shared
below,Andrea Makary updated his profile picture.,10215490427511772_10213237939120970,2017-07-19T20:13:52+0000,updated
Youssef el7a2😅,Andrea Makary shared ‎جهاز الشرطة المصرية‎'s post.,10215490427511772_10212952627628361,2017-06-27T22:13:26+0000,shared
Hii ostaa xD,Andrea Makary is with Mina Ibrahim.,10215490427511772_10212799217193196,2017-06-14T10:22:14+0000,posted
Youssef Kareem Mina Michael hii guys😁,below,10215490427511772_10212464362222031,2017-05-11T19:21:20+0000,posted
Youssef Mina Michael Kareem el gawaz 7elw aho😂,Andrea Makary shared Beyti Tropicana's video.,10215490427511772_10212402391992814,2017-05-05T00:08:05+0000,shared
Michael Amgad😂😂😂,Andrea Makary shared GUC's Sarcasm Community's photo.,10215490427511772_10212387097730467,2017-05-03T09:44:48+0000,shared
Mark😍😍,Andrea Makary shared Mallaky.com's post.,10215490427511772_10211869293025673,2017-03-11T16:34:22+0000,shared
Tony Makary,Andrea Makary shared ‎قصف جبهات - Thug Life‎'s video.,10215490427511772_10211710545337080,2017-02-22T17:28:10+0000,shared
Youssef meeen??😂😂,Andrea Makary shared Mohamed Henedy's post.,10215490427511772_10211563138532002,2017-02-06T17:39:48+0000,shared
😂😂😂,Andrea Makary shared ‎مرتضى منصور mortada mansour‎'s photo.,10215490427511772_10211438427934315,2017-01-24T11:04:58+0000,shared
Youssef Ashraf😂,Andrea Makary shared ‎التويته الفشيخه‎'s photo.,10215490427511772_10211402127266821,2017-01-21T17:46:46+0000,shared
After seeing my grade in Theory of Computation 😂😂,below,10215490427511772_10211389135982047,2017-01-20T11:33:06+0000,posted
Meray Sadek,below,10215490427511772_10211321298526153,2017-01-12T21:27:47+0000,posted
"Youssef Mina Michael Kareem
Our conversation😂😂😂😂",Andrea Makary shared Colleges Sarcasm Society's video.,10215490427511772_10211307854030049,2017-01-11T21:02:19+0000,shared
below,Andrea Makary shared Coca-Cola's video.,10215490427511772_10211221211184032,2017-01-01T21:44:01+0000,shared
below,Andrea Makary shared UNILAD Adventure's video.,10215490427511772_10210905563453036,2016-12-03T18:22:24+0000,shared
Tony  😂😂,Andrea Makary shared ‎Hesham Afifi - هشام عفيفي‎'s video.,10215490427511772_10210881158482927,2016-12-01T03:50:21+0000,shared
😌😌,Andrea Makary shared Born To Fly's photo.,10215490427511772_10210804695211393,2016-11-22T17:04:08+0000,shared
below,Andrea Makary shared Born to Be a Pilot's photo.,10215490427511772_10210786722562088,2016-11-20T18:56:03+0000,shared
Ooooff😂😂😂😂,below,10215490427511772_10210736079336039,2016-11-14T20:15:02+0000,posted
Mina this was unforgettable...,Andrea Makary shared Father Dawood Lamey Sermons's video.,10215490427511772_10210643893311446,2016-11-05T15:25:19+0000,shared
Merna kol sana wenty tayebaaa ya so3aad xD 3o2bal million sana..enjoy the video...and theory xD,Andrea Makary shared BBC News's video.,10215490427511772_10210572732012458,2016-10-29T10:33:28+0000,shared
Egyptian football 😂😂na7no na5talef 3an ela5aroon😎,below,10215490427511772_10210421023099830,2016-10-14T17:42:47+0000,posted
Mina William 5ally balak xD,Andrea Makary shared Sarah's Scribbles's photo.,10215490427511772_10210399949212996,2016-10-12T20:05:20+0000,shared
Mina ana fel physics lab😂😂,Andrea Makary shared ‎اساحبى يا مهندس‎'s photo.,10215490427511772_10210387610264530,2016-10-11T14:58:10+0000,shared
below,Andrea Makary shared Airbus's video.,10215490427511772_10210380475286160,2016-10-10T18:17:28+0000,shared
Youssef,Andrea Makary shared Nifty's video.,10215490427511772_10210333370468569,2016-10-05T17:41:29+0000,shared
Youssef Ashraf da a7la mel tany😂,below,10215490427511772_10210209459170864,2016-09-21T16:14:22+0000,posted
"goat goat goat,man cabbage cabbage cabbage,goat goat goat goat,wolf man man man,goat
#theory_lecture #guc #howa_fee_eh",below,10215490427511772_10210191382758965,2016-09-19T14:41:46+0000,posted
Mark Botros,Andrea Makary shared Al-Ahram Squash Open NEWGIZA's post.,10215490427511772_10210184312182205,2016-09-18T19:04:41+0000,shared
"A implies A implies A implies A...implies A implies A...implies A
#math_lecture #guc",below,10215490427511772_10210182099606892,2016-09-18T14:52:22+0000,posted
Those who are underestimating the Iphone 7: enjoy the explosion😁,below,10215490427511772_10210102371453738,2016-09-09T13:20:04+0000,posted
below,Andrea Makary shared Tasty's video.,10215490427511772_10210100983659044,2016-09-09T09:15:19+0000,shared
below,Andrea Makary shared StepFeed's post.,10215490427511772_10210046468856208,2016-09-03T14:43:29+0000,shared
Meray Sadek,below,10215490427511772_10209982280451538,2016-08-27T19:36:03+0000,posted
"Ta2reeban elmafrood ne2ool 3ala messy ""7efny beta3 el argentine""😎",Andrea Makary shared Italian Zamalkawy's post.,10215490427511772_10209877052420903,2016-08-15T23:45:54+0000,shared
below,Andrea Makary shared Flight4Flyers's photo.,10215490427511772_10209826391594414,2016-08-10T11:04:57+0000,shared
"A man is driving down the road and breaks down near a monastery. He goes to the monastery, knocks on the door, and says, “My car broke down. Do you think I could stay the night?”

The monks graciously accept him, feed him dinner, even fix his car. As the man tries to fall asleep, he hears a strange sound.

The next morning, he asks the monks what the sound was, but they say, “We can’t tell you. You’re not a monk.”

The man is disappointed but thanks them anyway and goes about his merry way.

Some years later, the same man breaks down in front of the same monastery.

The monks accept him, feed him, even fix his car. That night, he hears the same strange noise that he had heard years earlier.

The next morning, he asks what it is, but the monks reply, “We can’t tell you. You’re not a monk.”

The man says, “All right, all right. I’m *dying* to know. If the only way I can find out what that sound was is to become a monk, how do I become a monk?”

The monks reply, “You must travel the earth and tell us how many blades of grass there are and the exact number of sand pebbles. When you find these numbers, you will become a monk.”

The man sets about his task. Forty-five years later, he returns and knocks on the door of the monastery. He says, “I have traveled the earth and have found what you have asked for. There are 145,236,284,232 blades of grass and 231,281,219,999,129,382 sand pebbles on the earth.”

The monks reply, “Congratulations. You are now a monk. We shall now show you the way to the sound.”

The monks lead the man to a wooden door, where the head monk says, “The sound is right behind that door.”

The man reaches for the knob, but the door is locked. He says, “Real funny. May I have the key?”

The monks give him the key, and he opens the door.

Behind the wooden door is another door made of stone.

The man demands the key to the stone door.

The monks give him the key, and he opens it, only to find a door made of ruby.

He demands another key from the monks, who provide it.

Behind that door is another door, this one made of sapphire.

So it went until the man had gone through doors of emerald, silver, topaz, and amethyst.

Finally, the monks say, “This is the last key to the last door.”

The man is relieved to no end.

He unlocks the door, turns the knob, and behind that door he is amazed to find the source of that strange sound.

But I can’t tell you what it is because you’re not a monk",below,10215490427511772_10209820306642294,2016-08-09T15:24:46+0000,posted
Hamooooot😂😂😂😂..ga3far met7ames😂😂😂😅,Andrea Makary shared ‎باسم علي - Bassem Ali‎'s video.,10215490427511772_10209803478261595,2016-08-07T14:57:16+0000,shared
3andohom 1018 zayeena😂,Andrea Makary shared Interesting Engineering's post.,10215490427511772_10209778273871501,2016-08-04T12:35:05+0000,shared
So sweet☺️,Andrea Makary shared Gumbal's video.,10215490427511772_10209744062776245,2016-07-31T11:26:40+0000,shared
Mafeesh fayda 😒,Andrea Makary shared Egyptian Troll Football's photo.,10215490427511772_10209715359418679,2016-07-28T00:26:54+0000,shared
#معلش_احنا_بنتكلم,Andrea Makary shared ‎أخبار أبناء سوهاج - السوهاجية‎'s video.,10215490427511772_10209693430550471,2016-07-25T10:33:54+0000,shared
below,Andrea Makary shared Lufthansa's photo.,10215490427511772_10209689071841506,2016-07-24T22:32:06+0000,shared
Tony Makary Mario Botros Nadine Samir menawareen😂,Andrea Makary shared GUC's Sarcasm Community's photo.,10215490427511772_10209679559203696,2016-07-23T21:08:54+0000,shared
"Soft skills of a successful computer engineer😂
#rabena_yostor",Andrea Makary shared ScreenZ's photo.,10215490427511772_10209642897287171,2016-07-19T11:21:37+0000,shared
Nas beras koromba,Andrea Makary shared Egyptian Screenshots's photo.,10215490427511772_10209574250051033,2016-07-11T14:44:40+0000,shared
This thing😂😂,Andrea Makary shared Tarank's video.,10215490427511772_10209552978359254,2016-07-08T21:28:14+0000,shared
Ghaby awy😏,Andrea Makary shared Friends Logic's photo.,10215490427511772_10209550115727690,2016-07-08T15:22:48+0000,shared
below,Andrea Makary is with Te Parthenos.,10215490427511772_10209475954273700,2016-06-28T22:22:06+0000
In jeddah plzzz😍😍,Andrea Makary shared United News International's video.,10215490427511772_10209475918472805,2016-06-28T22:15:38+0000,shared
Maho ana law kont da5alt handaset tayaran..makansh 7asal kol elbalawy dee,Andrea Makary shared Hobby Flyers India's post.,10215490427511772_10209464030375610,2016-06-27T11:01:23+0000,shared
below,Andrea Makary shared orsozox page's photo.,10215490427511772_10209438742703434,2016-06-24T11:10:05+0000,shared
Melook el hydraulic elevators..mabroook😘😘💃🏼💃🏼💪💪💪💪💪💃🏼💃🏼😘😘😘😘 formal ba2a w 7arakat w keda33😎 Tony Makary Mario Botros,Andrea Makary added 2 new photos.,10215490427511772_10209217670456766,2016-05-25T21:56:44+0000,added
Mark Moheb enjooy,Andrea Makary shared Egyptian Drift's post.,10215490427511772_10209210334873381,2016-05-24T20:49:23+0000,shared
below,Andrea Makary shared Aircraft maintenace engineering's photo.,10215490427511772_10209199109112744,2016-05-23T08:33:10+0000,shared
Elwad dah haydarres signals lamma yekbar 😅,Andrea Makary shared ‎قصف جبهات - Thug Life‎'s video.,10215490427511772_10209195098652485,2016-05-22T19:04:54+0000,shared
Just want to tell the GUC one simple thing:,below,10215490427511772_10209171971234314,2016-05-19T16:17:05+0000,posted
Tony Makary,Andrea Makary shared UberFacts's photo.,10215490427511772_10209152548108748,2016-05-16T15:58:48+0000,shared
Tony Makary Mario Botros,below,10215490427511772_10209137396969979,2016-05-14T11:39:15+0000,posted
Ana delwa2ty ba2eet monshake7 🤗go fera5 go🐥🐥🐥🐣,Andrea Makary shared UberFacts's photo.,10215490427511772_10209105692497387,2016-05-09T14:44:53+0000,shared
Dont let me at the front😅,Andrea Makary shared Anti-Joke Community's photo.,10215490427511772_10209064909717843,2016-05-03T15:08:19+0000,shared
Kareem Nagui Mark Moheb,Andrea Makary shared 9GAG's photo.,10215490427511772_10208870458616687,2016-04-06T18:30:04+0000,shared
"Whenever i try {hard}
i always catch(mafeeshFaydaException)😏",below,10215490427511772_10208820730693520,2016-03-31T23:40:30+0000,posted
Mark Moheb,Andrea Makary shared Automotive Arabia's photo.,10215490427511772_10208723982994888,2016-03-25T13:43:08+0000,shared
Tony Makary dont miss this :D,Andrea Makary shared Thanawya Sarcasm Society.'s photo.,10215490427511772_10208715701587858,2016-03-25T00:39:18+0000,shared
😧🔫,Andrea Makary shared ‎تجربة Tgrba‎'s photo.,10215490427511772_10208669802120400,2016-03-21T18:41:21+0000,shared
below,Andrea Makary shared Mahadeven Thampy's video.,10215490427511772_10208582781984951,2016-03-12T18:09:31+0000,shared
7efny the legend😍,below,10215490427511772_10208527436401346,2016-03-06T17:49:36+0000,posted
below,Andrea Makary shared ‎Egychology - ايجيكولوجي‎'s video.,10215490427511772_10208478020045968,2016-02-28T19:30:44+0000,shared
below,Andrea Makary shared Tarank's video.,10215490427511772_10208366189650278,2016-02-13T18:24:43+0000,shared
below,Andrea Makary updated his cover photo.,10215490427511772_10208319132513879,2016-02-06T14:41:59+0000,updated
below,Andrea Makary shared Remood Movies's photo.,10215490427511772_10208294441336615,2016-02-02T21:11:57+0000,shared
below,Andrea Makary shared ‎فريق اللاهوت الدفاعي‎'s photo.,10215490427511772_10208272582910168,2016-01-30T18:48:18+0000,shared
below,Andrea Makary shared Vicki Yohe's photo.,10215490427511772_10208258692682921,2016-01-28T16:19:11+0000,shared
7ad ma5adsh barcode ya gama3a??,Andrea Makary shared E3dady Sarcasm Society's photo.,10215490427511772_10208233796140523,2016-01-24T21:39:40+0000,shared
below,Andrea Makary shared It's Bro's photo.,10215490427511772_10208166013966011,2016-01-14T20:41:23+0000,shared
"present state=eldor elawal
next state=tel3o eldoor eltany 
next state=ba3d ma tel3o eltany tel3o eltalet
#sequential_circuit #DLD :D",Andrea Makary shared Asa7be Sarcasm Society's video.,10215490427511772_10208062156649643,2015-12-30T21:33:50+0000,shared
below,Andrea Makary shared GUC's Sarcasm Community's photo.,10215490427511772_10208047961294768,2015-12-28T21:16:38+0000,shared
while studying math :D,Andrea Makary shared ‎شم الجو‎'s video.,10215490427511772_10208039052512054,2015-12-27T16:01:51+0000,shared
Tony Makary Mario Botros 😅💪,Andrea Makary shared H.T.I Comics's video.,10215490427511772_10208018667322437,2015-12-24T19:49:56+0000,shared
Michael Adel,Andrea Makary shared Sarcasmoon's photo.,10215490427511772_10207817045242011,2015-11-22T17:03:28+0000,shared
